날짜,품번,품목군,품목,코업,포승,포승이고,청호,한라,진성,청호이고,해드림,그린써브케이탑,본사,직송,재고합계,당월출고수량,직전출고수량,일일소비량,7일활동소비량,7일실질소비량,안전재고,상태,최소재고,최대재고,긴급발생횟수,긴급발생비율,재고_커버리지,소비_급증률,유형_분류,위험점수,위험등급
2026. 2. 11,24084,d. 유제품,슈라이버 스위스 슬라이스 치즈 120P,291.75,,,600.00,,,,,28.00,,,919.75,274.50,233.5,41.00,26.90,42.71,220.13,정상,127.50,537.25,1,2.63%,6.83,62.98%,여유재고,26.74,여유
2026. 2. 11,24091,d. 유제품,슈라이버 컵포션 21g,200.20,,,144.00,,,,,65.00,,,409.20,117.40,117.4,0.00,1.68,17.97,89.70,정상,131.00,329.20,1,2.63%,11.14,9.35%,여유재고,7.82,여유
2026. 2. 11,23939,d. 유제품,마스카포네 (엘다) 500g,24.33,,,,,,,,,,,24.33,77.50,71.5,6.00,5.50,14.00,63.58,주의,4.00,74.33,17,44.74%,1.74,39.29%,즉시보충,49.50,여유
2026. 2. 11,23017,d. 유제품,체다 다이스치즈 2.27kg,95.25,659.00,,,,,,,,,,754.25,83.25,79.25,4.00,5.55,13.71,82.50,정상,19.00,401.25,3,7.89%,6.95,40.47%,여유재고,20.92,여유
2026. 2. 11,23019,d. 유제품,고다 다이스치즈 2.27kg,40.75,69.00,,,,,,,,,,109.75,24.00,18,6.00,2.80,3.71,14.13,정상,25.25,94.25,1,2.63%,10.97,75.38%,여유재고,27.70,여유
2026. 2. 11,23020,d. 유제품,몬테레이잭 다이스치즈 2.27kg,77.25,138.00,,,,,,,,,,215.25,21.25,20.25,1.00,1.60,3.89,14.88,정상,44.25,113.25,1,2.63%,19.84,41.10%,여유재고,15.38,여유
2026. 2. 11,26002,d. 유제품,크로아상 버터 플레이트 2kg,389.60,,,,,,,,,,,389.60,80.00,80,0.00,0.60,11.86,93.40,정상,33.80,430.60,1,2.63%,32.86,5.06%,여유재고,3.57,여유
2026. 2. 11,25015,d. 유제품,시앤오 데어리브랜드 (버터 79%),103.00,,,,,,,,,,,103.00,30.00,30,0.00,0.00,4.29,56.00,정상,13.00,613.00,1,2.63%,24.03,0.00%,여유재고,2.61,여유
2026. 2. 11,25025,d. 유제품,UDA버터 (미국산) 25kg,378.00,,,"1,280.00",,,,,,,,"1,658.00",406.00,378,28.00,45.40,72.29,325.50,정상,12.00,659.00,3,7.89%,5.23,62.81%,여유재고,29.98,여유
2026. 2. 11,26016,d. 유제품,락틱 컴파운드 버터 12.5kg,223.00,"1,736.00",,,,,,,,,,"1,959.00",71.00,69,2.00,5.60,13.14,123.00,정상,16.00,315.00,2,5.26%,16.97,42.61%,여유재고,16.78,여유
2026. 2. 11,25026,d. 유제품,HDM 락틱 버터25KG,211.00,50.00,,,,,,,,,,261.00,67.00,67,0.00,0.20,9.71,30.50,정상,71.00,255.00,1,2.63%,21.72,2.06%,여유재고,3.45,여유
2026. 2. 11,25018,d. 유제품,UELZENA 마르켄 버터 10kg,"1,019.00","2,400.00",,,"2,201.00",,,,,,,"5,620.00",661.00,476,185.00,81.60,123.14,1152.50,주의,119.00,"1,338.00",6,15.79%,8.27,66.26%,여유재고,29.08,여유
2026. 2. 11,26006,d. 유제품,UELZENA 마르켄 스틱버터 2.5kg,0.00,"2,332.00",,,,,,,,,,"2,332.00",0.00,0,0.00,0.00,0.00,400.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 11,26010,d. 유제품,UELZENA 마르켄 포션버터 10g*200ea,187.00,360.00,,,,,,,3.00,,,550.00,80.00,80,0.00,12.20,20.14,46.55,정상,87.00,447.00,1,2.63%,9.28,60.57%,여유재고,24.08,여유
2026. 2. 11,24986,d. 유제품,발렌타인 포션버터 7g,0.00,,,,,,,,,,,0.00,2.00,2,0.00,0.00,0.29,2.00,긴급,2.00,2.00,29,76.32%,0.00,0.00%,즉시보충,0.00,여유
2026. 2. 11,24987,d. 유제품,발렌타인 포션버터 10g,0.00,,,,,,,,,,,0.00,0.00,0,0.00,0.00,0.00,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 11,24094,d. 유제품,SD 컴퍼니 모짜렐라 치즈 2.5kg*4ea,0.00,,,,,,,,,,,0.00,0.00,0,0.00,0.00,0.00,100.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 11,23144,d. 유제품,제니코 에멘탈 프라임 골드 1KG,117.88,,,,,,,,,,,117.88,10.00,8,2.00,1.20,1.57,39.00,정상,2.63,125.88,2,5.26%,75.01,76.36%,여유재고,24.63,여유
2026. 2. 11,23124,d. 유제품,팬시 파마산 슈레드치즈 907g,171.33,,,193.00,,,,,,,,364.33,117.00,112,5.00,10.38,22.13,108.25,정상,22.58,197.50,3,7.89%,7.74,46.92%,여유재고,22.11,여유
2026. 2. 11,23141,d. 유제품,콜비잭 슈레드 치즈,0.00,,,,,,,,,,,0.00,0.00,0,0.00,0.00,0.00,1.06,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 11,24096,d. 유제품,콜비잭치즈 슬라이스(21g),0.00,,,,,,,,,,,0.00,0.00,0,0.00,0.00,0.00,193.75,긴급,2.00,320.00,25,65.79%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 11,23103,d. 유제품,제니코 피자치즈 N50 2.5kg,159.00,,,,,,,,,,,159.00,121.00,104,17.00,7.00,19.14,80.50,정상,50.00,247.00,1,2.63%,8.31,36.57%,여유재고,17.52,여유
2026. 2. 11,23104,d. 유제품,제니코 피자토핑프라임 2.5kg,47.75,,,,,,,,,,,47.75,18.00,18,0.00,1.40,2.86,16.50,정상,16.00,87.75,1,2.63%,16.71,49.00%,여유재고,18.22,여유
2026. 2. 11,23112,d. 유제품,제니코 모짜체다 슈레드 치즈 2.5kg,68.00,,,,,,,,,,,68.00,40.00,40,0.00,0.00,5.71,42.50,정상,28.00,128.00,1,2.63%,11.90,0.00%,여유재고,4.73,여유
2026. 2. 11,23145,d. 유제품,옐로우 슈레드 치즈 2.5kg (냉장),130.00,,,,,,,,,,,130.00,150.00,150,0.00,0.00,21.43,203.50,주의,30.00,150.00,9,23.68%,6.07,0.00%,여유재고,12.98,여유
2026. 2. 11,23118,d. 유제품,제니코 모짜 슬라이스(냉동) 18g 1kg*3ea,214.67,,,,,,,,,,,214.67,280.33,280.3333333,0.00,0.27,40.24,320.50,주의,0.67,373.00,16,42.11%,5.33,0.66%,여유재고,17.99,여유
2026. 2. 11,23100,d. 유제품,제니코 모짜프라임 골드 2.5kg,"1,177.25",,,,,,,,,,,"1,177.25","1,514.00",1385,129.00,96.60,260.57,1043.00,정상,235.00,"1,727.75",7,18.42%,4.52,37.07%,여유재고,25.87,여유
2026. 2. 11,23101,d. 유제품,제니코 모짜프라임 500 2.5kg,104.00,,,,,,,,,,,104.00,127.00,114,13.00,14.40,25.29,118.50,주의,104.00,339.00,1,2.63%,4.11,56.95%,여유재고,29.77,여유
2026. 2. 11,23120,d. 유제품,프리미엄 모짜렐라 (냉장) 2.5kg,193.00,,,,,,,,,,,193.00,81.00,53,28.00,5.60,11.57,247.50,주의,6.00,221.00,6,15.79%,16.68,48.40%,여유재고,20.67,여유
2026. 2. 11,23134,d. 유제품,제니코 피자치즈 냉장 (독일산) 2.5kg,0.00,,,,,,,,,,,0.00,200.75,200.75,0.00,0.00,28.68,100.25,긴급,89.50,194.50,10,26.32%,0.00,0.00%,즉시보충,0.00,여유
2026. 2. 11,23129,d. 유제품,모짜렐라치즈 오리지날 2.5kg,68.00,,,,,,,,,,,68.00,87.00,87,0.00,8.00,18.14,70.50,주의,5.00,161.00,5,13.16%,3.75,44.09%,여유재고,29.20,여유
2026. 2. 11,23140,d. 유제품,사푸토 모짜 2.77kg*8ea,54.75,144.00,,,,,,,,,,198.75,19.00,19,0.00,1.60,3.86,40.00,정상,12.75,81.75,3,7.89%,14.19,41.48%,여유재고,17.55,여유
2026. 2. 11,23143,d. 유제품,칼라 체다 프라임 골드 2.5kg,127.50,,,,,,,,,,,127.50,98.00,95,3.00,4.60,16.86,146.63,주의,6.50,279.75,9,23.68%,7.56,27.29%,여유재고,19.53,여유
2026. 2. 11,23131,d. 유제품,제니코 모짜렐라 점보치즈스틱 2kg,32.00,,,,,,,,,,,32.00,13.00,13,0.00,0.00,3.57,17.50,정상,32.00,100.00,3,7.89%,8.96,0.00%,여유재고,7.16,여유
2026. 2. 11,23123,d. 유제품,아리바 슈프림 모짜렐라 1kg,48.00,,,,,,,,,,,48.00,20.00,20,0.00,0.00,2.86,20.00,정상,18.00,118.00,1,2.63%,16.80,0.00%,여유재고,3.50,여유
2026. 2. 11,23132,d. 유제품,아리바 베이커리롤치즈 1kg,0.00,,,,,,,,,,,0.00,102.00,0,102.00,0.00,14.57,52.50,긴급,0.00,0.00,38,100.00%,0.00,0.00%,즉시보충,0.00,여유
2026. 2. 11,23142,d. 유제품,비앙카 체다 슬라이스 2kg,125.00,,,,,,,,,,,125.00,125.00,125,0.00,0.00,35.71,125.00,정상,124.50,125.00,21,55.26%,3.50,0.00%,여유재고,25.34,여유
2026. 2. 11,23968,d. 유제품,체다 슬라이스 100P 1.8kg,124.75,,,,,,,,,,,124.75,123.00,111,12.00,10.00,21.00,130.00,주의,96.25,280.00,1,2.63%,5.94,47.62%,여유재고,23.23,여유
2026. 2. 11,23962,d. 유제품,베이커리 슬라이스 치즈 1.8kg,33.50,,,,,,,,,,,33.50,89.50,84.5,5.00,14.20,14.64,109.50,긴급,0.50,142.75,10,26.32%,2.29,96.98%,여유재고,56.21,주의
2026. 2. 11,24090,d. 유제품,엠보그 버거 슬라이스 (화이트) 84P,0.00,,,,,,,,,,,0.00,0.00,0,0.00,0.00,0.00,7.00,긴급,2.00,2.00,37,97.37%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 11,20551,e. 가공식품,제니코 켄터키후랑크 1kg,72.20,,,,,,,,,,,72.20,215.00,183,32.00,19.60,36.57,242.55,긴급,10.20,155.20,18,47.37%,1.97,53.59%,즉시보충,50.88,주의
2026. 2. 11,22175,e. 가공식품,오징어먹물 색소 500g,568.67,,,,,,,,,,,568.67,92.17,89.16666667,3.00,6.20,15.60,72.00,정상,384.00,645.83,1,2.63%,36.46,39.76%,여유재고,13.82,여유
2026. 2. 11,20905,e. 가공식품,마리네이티드 세그먼트 토마토 (1/4컷) 1kg,1.00,,,,,,,,,,,1.00,82.50,83.5,82.50,21.70,25.57,94.60,긴급,1.00,218.00,7,18.42%,0.04,84.86%,즉시보충,1307.71,즉시처리
2026. 2. 11,20906,e. 가공식품,마리네이티드 체리 토마토 (하프컷) 1kg,44.70,,,,,,,2.00,,,,46.70,62.00,52,10.00,4.00,9.71,48.05,주의,8.70,207.70,6,15.79%,4.60,41.18%,여유재고,26.38,여유
2026. 2. 11,20907,e. 가공식품,냉동 블루베리 1kg,116.80,,,,,,,,,,,116.80,45.00,38,7.00,5.00,8.71,64.00,정상,34.80,224.80,1,2.63%,13.40,57.38%,여유재고,21.47,여유
2026. 2. 11,21515,e. 가공식품,바닐라빈 250g,0.00,,,,,,,,,18.00,,18.00,15.00,15,0.00,2.00,3.57,6.50,긴급,0.00,0.00,38,100.00%,0.00,56.00%,즉시보충,0.00,여유
2026. 2. 11,21516,e. 가공식품,바닐라빈 50g,0.00,,,,,,,,,38.00,,38.00,100.00,0,100.00,0.00,14.29,54.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,즉시보충,0.00,여유
2026. 2. 11,21517,e. 가공식품,바닐라빈 25g,0.00,,,,,,,,,278.00,,278.00,0.00,0,0.00,0.00,0.00,1.50,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 12,10401,a. 이스트(제조),생이스트 500g,604.05,"1,565.00","1,000.00",,,,,,1.50,,,"2,170.55","2,949.93",2545.575,404.35,259.07,462.72,2856.56,긴급,144.93,"1,286.83",34,89.47%,1.31,55.99%,즉시보충,72.99,주의
2026. 2. 12,10402,a. 이스트(제조),생이스트 15kg,0.00,90.00,,,,,,,,,,90.00,180.00,180,0.00,0.00,25.71,135.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,즉시보충,0.00,여유
2026. 2. 12,10405,a. 이스트(제조),생이스트 (냉동생지) 500g,1.00,3.00,,,,,,,,,,4.00,42.00,18,24.00,7.80,6.00,43.00,긴급,0.95,25.00,26,68.42%,0.17,130.00%,즉시보충,352.68,즉시처리
2026. 2. 12,10714,a. 이스트(제조),제니코 인스턴트이스트 5kg,36.25,70.00,,,,,,,,,,106.25,3.00,3,0.00,0.00,0.43,61.00,주의,27.25,39.25,1,2.63%,84.58,0.00%,여유재고,1.12,여유
2026. 2. 12,26102,a. 이스트(제조),인스턴트이스트 4g (2000),0.00,,,,,,,,,,,0.00,0.00,0,0.00,0.00,0.00,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 12,21323,a. 이스트,글로리팡 생이스트 500g,44.90,,,,,,,,,,,44.90,"1,013.00",856,157.00,71.20,151.57,862.03,긴급,39.00,737.90,19,50.00%,0.30,46.97%,즉시보충,192.88,우선처리
2026. 2. 12,21347,a. 이스트,글로리팡 생이스트 벌크 20kg,160.00,,,,,,,,,,,160.00,320.00,160,160.00,40.00,45.71,380.00,주의,40.00,360.00,10,26.32%,3.50,87.50%,여유재고,45.80,여유
2026. 2. 12,21340,a. 이스트,레드스타 생이스트 500g,24.90,,,,,,,,,,,24.90,171.10,171.1,0.00,3.42,24.59,170.95,긴급,3.00,151.00,21,55.26%,1.01,13.91%,즉시보충,64.59,주의
2026. 2. 12,21343,a. 이스트,레드스타 생이스트 벌크 10kg,280.00,,,,,,,,,,,280.00,"1,180.00",1180,0.00,76.00,171.43,1220.00,긴급,150.00,993.00,8,21.05%,1.63,44.33%,즉시보충,48.12,여유
2026. 2. 12,21501,a. 이스트,냉동건조효모 (하이론댈) 골드라벨,550.75,650.00,,,,,,,56.00,,,"1,256.75","1,553.25",1263.5,289.75,110.85,236.89,1259.38,주의,208.75,"2,314.50",8,21.05%,2.32,46.79%,여유재고,39.75,여유
2026. 2. 12,21502,a. 이스트,냉동건조효모 (하이론댈),723.50,,,,,,,,,,,723.50,368.00,358.5,9.50,25.40,53.00,298.88,정상,61.50,796.00,4,10.53%,13.65,47.92%,여유재고,20.15,여유
2026. 2. 12,21301,a. 이스트,사프 인스턴트이스트 500g (R),696.35,"1,584.00",196.00,,,,,,,,,"2,280.35","1,368.30",1334.3,34.00,137.48,278.67,1674.85,주의,44.35,857.35,31,81.58%,2.50,49.33%,여유재고,51.13,주의
2026. 2. 12,21302,a. 이스트,사프 인스턴트이스트 500g (G),562.60,440.00,88.00,,,,,,,,,"1,002.60","1,070.00",1012,58.00,87.60,198.86,1357.10,주의,134.60,"1,312.60",11,28.95%,2.83,44.05%,여유재고,36.68,여유
2026. 2. 12,21303,a. 이스트,사프 인스턴트이스트 125g (R),99.17,648.00,,,,,,,,,,747.17,81.00,81,0.00,8.40,13.29,78.50,정상,26.17,170.17,1,2.63%,7.46,63.23%,여유재고,26.19,여유
2026. 2. 12,21305,a. 이스트,사프 인스턴트이스트 10kg (R),177.00,640.00,,,,,,,,,,817.00,130.00,130,0.00,14.00,18.57,375.50,주의,82.00,262.00,1,2.63%,9.53,75.38%,여유재고,28.39,여유
2026. 2. 12,21307,a. 이스트,사프 인스탄트이스트 10kg (R) (KKD),0.00,"1,077.00",,,,,,,,,,"1,077.00",500.00,500,0.00,0.00,71.43,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,즉시보충,0.00,여유
2026. 2. 12,21329,a. 이스트,사프 트레디지 400g,52.75,,,,,,,,,1.00,,53.75,2.00,2,0.00,0.00,0.29,2.50,정상,45.75,54.75,1,2.63%,184.63,0.00%,여유재고,0.80,여유
2026. 2. 12,21332,a. 이스트,리벤도 비디100 500g,26.00,,,,,,,,,1.40,,27.40,0.00,0,0.00,0.00,0.00,0.50,정상,20.00,26.00,1,2.63%,0.00,0.00%,여유재고,0.00,여유
2026. 2. 12,21311,a. 이스트,엔젤 인스턴트이스트-고당 500g,269.50,900.00,,,,,,,,,,"1,169.50",112.85,99.7,13.15,8.87,18.11,173.93,정상,82.35,275.15,1,2.63%,14.88,48.97%,여유재고,18.58,여유
2026. 2. 12,21312,a. 이스트,엔젤 인스턴트이스트-저당 500g,209.85,"2,300.00",,,,,,,,,,"2,509.85",433.10,358,75.10,40.82,63.62,309.48,주의,91.05,326.80,3,7.89%,3.30,64.16%,여유재고,35.99,여유
2026. 2. 12,21313,a. 이스트,엔젤 인스턴트이스트-저당 10kg,275.00,"1,800.00",,,,,,,,,,"2,075.00",115.00,115,0.00,0.00,16.43,100.50,정상,90.00,290.00,1,2.63%,16.74,0.00%,여유재고,3.51,여유
2026. 2. 12,21316,a. 이스트,엔젤 인스턴트이스트-저당 5kg,0.00,600.00,,,,,,,,,,600.00,0.00,0,0.00,0.00,0.00,0.00,긴급,0.00,0.00,28,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 12,21322,a. 이스트,엔젤 와인이스트 500g,0.00,5.00,,,,,,,,6.25,,11.25,0.00,0,0.00,0.00,0.00,0.50,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 12,21318,b. 엑기스,엔젤 이스트엑기스분말,105.00,710.00,,,,,,,,,,815.00,0.00,0,0.00,0.00,0.00,35.50,정상,46.00,105.00,21,55.26%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 12,10605,b. 엑기스(제조),불활성건조효모,37.00,339.00,,,,,,,,,,376.00,60.35,60.35,0.00,10.07,8.62,56.40,주의,22.00,47.00,1,2.63%,4.29,116.80%,여유재고,47.22,여유
2026. 2. 12,21228,b. 엑기스,스프링거 우마미 AA,28.00,,,,,,,,,,,28.00,0.00,0,0.00,0.00,0.00,0.50,정상,14.00,28.00,1,2.63%,0.00,0.00%,여유재고,0.00,여유
2026. 2. 12,21020,c. 베이커리믹스,강력분 밀가루 20kg,165.00,,,264.00,,,264.00,,,,,429.00,381.00,279,102.00,36.00,56.57,249.50,주의,104.00,912.00,2,5.26%,2.92,63.64%,여유재고,37.29,여유
2026. 2. 12,21021,c. 베이커리믹스,박력분 밀가루 20kg,201.00,,,,,,,,,,,201.00,110.00,83,27.00,7.20,16.00,127.00,정상,82.00,387.00,1,2.63%,12.56,45.00%,여유재고,18.01,여유
2026. 2. 12,21023,c. 베이커리믹스,트레일블레이저 밀가루 22.68kg,153.00,,,715.00,,,275.00,,,,,868.00,240.00,240,0.00,18.00,34.29,130.00,정상,98.00,428.00,1,2.63%,4.46,52.50%,여유재고,27.48,여유
2026. 2. 12,21601,c. 베이커리믹스,베이킹파우더 300g,364.88,,,,,,,,12.00,,,376.88,216.64,208.64,8.00,16.93,35.09,254.08,정상,275.86,536.88,1,2.63%,10.40,48.24%,여유재고,19.81,여유
2026. 2. 12,21600,c. 베이커리믹스,베이킹파우더 20kg,428.00,,,,,,,,,,,428.00,399.00,399,0.00,53.40,66.14,405.00,정상,254.00,582.00,1,2.63%,6.47,80.73%,여유재고,32.47,여유
2026. 2. 12,21604,c. 베이커리믹스,베이킹파우더 포뮬러 (2) 300g,699.38,,,,,,,,1.30,,,700.68,493.02,448.02,45.00,27.60,73.57,467.00,정상,358.38,967.38,1,2.63%,9.51,37.52%,여유재고,17.04,여유
2026. 2. 12,21603,c. 베이커리믹스,베이킹파우더 포뮬러 (2) 20kg,325.00,,,,,,,,,,,325.00,132.00,132,0.00,8.60,20.29,95.00,정상,119.00,425.00,1,2.63%,16.02,42.39%,여유재고,16.37,여유
2026. 2. 12,21609,c. 베이커리믹스,베이킹파우더 플러스 20kg,224.00,,,,,,,,,,,224.00,200.00,200,0.00,0.00,28.57,200.50,정상,124.00,373.00,1,2.63%,7.84,0.00%,여유재고,6.90,여유
2026. 2. 12,21606,c. 베이커리믹스,베이킹파우더 A-300 20kg,0.00,,,,,,,,,,,0.00,0.00,0,0.00,0.00,0.00,50.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 12,21635,c. 베이커리믹스,S-2000 500g,93.91,,,,,,,,,,,93.91,97.00,97,0.00,14.20,21.57,50.51,정상,36.91,115.91,1,2.63%,4.35,65.83%,여유재고,31.76,여유
2026. 2. 12,21636,c. 베이커리믹스,S-2000 10kg,182.00,,,,,,,,,,,182.00,27.00,27,0.00,0.00,3.86,39.00,정상,23.00,182.00,1,2.63%,47.19,0.00%,여유재고,1.59,여유
2026. 2. 12,21634,c. 베이커리믹스,S-2000 (GOLD) 500g,115.76,,,,,,,,,,,115.76,101.00,92,9.00,7.00,15.14,83.00,정상,42.76,128.76,1,2.63%,7.64,46.23%,여유재고,20.93,여유
2026. 2. 12,21633,c. 베이커리믹스,S-2000 (GOLD) 10kg,164.00,,,,,,,,,,,164.00,95.00,85,10.00,4.00,15.00,53.00,정상,93.00,200.00,1,2.63%,10.93,26.67%,여유재고,13.10,여유
2026. 2. 12,21655,c. 베이커리믹스,이스트후드 20kg,82.00,,,,,,,,,,,82.00,3.00,3,0.00,0.00,0.43,20.00,정상,31.00,82.00,1,2.63%,191.33,0.00%,여유재고,0.79,여유
2026. 2. 12,21685,c. 베이커리믹스,크라프트 플러스 (2) 3kg,149.80,,,,,,,,,,,149.80,51.00,40,11.00,4.80,7.86,52.00,정상,88.80,430.80,1,2.63%,19.07,61.09%,여유재고,21.48,여유
2026. 2. 12,24026,c. 베이커리믹스,슐로스브로트 25kg,0.00,185.00,,,,,,,,,,185.00,0.00,0,0.00,0.00,0.00,0.00,긴급,0.00,0.00,38,100.00%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 12,21133,d. 유제품,"골드라벨 휘핑크림 오리지날 1,030g*12ea",94.75,,,,,,,,,,,94.75,387.00,373,14.00,31.20,62.86,323.50,긴급,58.92,140.92,32,84.21%,1.51,49.64%,즉시보충,64.90,주의
2026. 2. 12,21134,d. 유제품,"골드라벨 휘핑크림 무향 1,030g*12ea",44.00,,,,,,,,,,,44.00,65.00,63,2.00,5.40,11.86,33.00,정상,18.00,53.00,1,2.63%,3.71,45.54%,여유재고,27.66,여유
2026. 2. 12,21121,d. 유제품,골드라벨 휘핑크림 밀크향 (NEW),33.00,,,,,,,,,,,33.00,4.00,4,0.00,0.60,0.86,15.50,정상,10.00,37.00,1,2.63%,38.50,70.00%,여유재고,22.83,여유
2026. 2. 12,21127,d. 유제품,RPC 프로패셔널 휘핑크림,2.00,,,,,,,,,,,2.00,0.00,0,0.00,0.00,0.00,13.00,긴급,2.00,12.00,31,81.58%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 12,21132,d. 유제품,RPC 데어리블랜드 쿠킹크림,23.00,,,,,,,,,,,23.00,76.00,76,0.00,0.00,10.86,35.50,주의,11.00,33.00,23,60.53%,2.12,0.00%,여유재고,35.71,여유
2026. 2. 12,21135,d. 유제품,제니코식품/리치 쿠킹 크림 1L*12ea,0.00,,,,,,,,,,,0.00,0.00,0,0.00,0.00,0.00,1.00,긴급,1.00,1.00,16,42.11%,0.00,0.00%,점검필요,0.00,여유
2026. 2. 12,21122,d. 유제품,푸어앤휩 (레드) 휘핑크림,11.00,,,,,,,,,,,11.00,45.00,35,10.00,3.40,7.43,12.00,주의,2.00,23.00,6,15.79%,1.48,45.77%,즉시보충,50.65,주의
2026. 2. 12,21120,d. 유제품,온탑 휘핑크림,67.00,,,,,,,,,,,67.00,28.00,28,0.00,2.00,4.00,87.00,주의,5.00,140.00,7,18.42%,16.75,50.00%,여유재고,21.67,여유
2026. 2. 12,21110,d. 유제품,베르사띠 휘핑크림 1L,16.00,,,,,,,,,,,16.00,10.00,10,0.00,0.00,1.43,13.00,정상,6.00,16.00,1,2.63%,11.20,0.00%,여유재고,4.99,여유
2026. 2. 12,21117,d. 유제품,AERO TOP 휘핑크림,17.00,,,,,,,,,,,17.00,25.00,22,3.00,3.00,4.57,17.00,정상,2.00,27.00,12,31.58%,3.72,65.63%,여유재고,39.45,여유
2026. 2. 12,21126,d. 유제품,달럽 프라이드 휘핑크림,9.00,,,,,,,,,,,9.00,30.00,30,0.00,0.00,4.29,0.00,정상,9.00,29.00,1,2.63%,2.10,0.00%,여유재고,24.34,여유
2026. 2. 12,23045,d. 유제품,비앙카 골드 크림치즈 1.36kg,445.80,,,,,,,,,,,445.80,579.00,538,41.00,40.20,88.57,538.55,주의,279.40,945.40,1,2.63%,5.03,45.39%,여유재고,24.08,여유
2026. 2. 12,23016,d. 유제품,비앙카 골드 크림치즈 벌크 13.6kg,"1,454.00",,,,,,,,,,,"1,454.00","1,366.00",1281,85.00,124.60,216.71,1033.00,정상,345.00,"1,902.00",1,2.63%,6.71,57.50%,여유재고,25.23,여유
2026. 2. 12,23126,d. 유제품,헤리티지 크림치즈 1.36kg,244.90,,,63.00,,,,,3.00,,,310.90,183.80,178.8,5.00,13.74,29.83,144.95,정상,94.00,477.90,1,2.63%,8.21,46.06%,여유재고,20.44,여유
2026. 2. 12,23015,d. 유제품,헤리티지 벌크 크림치즈 13.6kg,320.00,,,420.00,,,,,,,,740.00,168.00,163,5.00,15.00,30.00,144.50,정상,165.00,386.00,1,2.63%,10.67,50.00%,여유재고,20.21,여유
2026. 2. 12,22992,d. 유제품,워남불 크림치즈 2kg (썬골드),0.00,,,,,,,,,,,0.00,64.83,64.83333333,0.00,5.00,12.12,122.00,긴급,9.83,66.00,35,92.11%,0.00,41.26%,즉시보충,0.00,여유
2026. 2. 12,22991,d. 유제품,워남불 크림치즈 10kg,"1,179.00",,,,"2,457.00",,,,,,,"3,636.00","1,319.00",1108,211.00,113.80,214.14,1009.50,정상,286.00,"1,860.00",2,5.26%,5.51,53.14%,여유재고,26.08,여유
2026. 2. 12,23012,d. 유제품,폴리 크림치즈 1.36kg,566.20,,,745.00,,,,,,,,"1,311.20",577.80,518,59.80,30.76,87.40,480.35,정상,338.40,"1,129.90",1,2.63%,6.48,35.19%,여유재고,18.80,여유
2026. 2. 12,23014,d. 유제품,폴리 크림치즈 벌크 13.6kg,100.00,,,,,,,,,,,100.00,278.00,276,2.00,9.20,42.14,259.50,주의,7.00,850.00,7,18.42%,2.37,21.83%,여유재고,31.30,여유
2026. 2. 12,24003,d. 유제품,폴리 컵포션치즈 28g,235.87,,,144.00,,,,,13.00,,,392.87,190.80,168.8,22.00,14.56,28.40,218.20,정상,30.47,408.87,3,7.89%,8.31,51.27%,여유재고,22.98,여유
2026. 2. 12,23954,d. 유제품,라스카스 크림치즈 1.36kg,531.70,,,"1,449.00",,,,,,,,"1,980.70",737.00,631,106.00,53.80,107.57,519.05,정상,264.70,923.70,1,2.63%,4.94,50.01%,여유재고,25.65,여유
2026. 2. 12,24081,d. 유제품,뉴샤텔 크림치즈 벌크 13.6kg,413.00,,,"1,120.00",,,,,,,,"1,533.00",476.00,266,210.00,53.60,68.00,417.50,주의,126.00,780.00,2,5.26%,6.07,78.82%,여유재고,32.93,여유
2026. 2. 12,23996,d. 유제품,제니코 까망베르 크림치즈 1kg,33.70,,,,,,,,,,,33.70,22.20,19.4,2.80,1.24,3.37,18.50,정상,31.60,75.50,1,2.63%,10.00,36.78%,여유재고,16.56,여유
2026. 2. 12,24083,d. 유제품,슈라이버 슬라이스 치즈 120P,"1,092.00",,,"3,378.00",,,,,4.00,,,"4,474.00",979.75,956.75,23.00,114.00,183.96,883.63,정상,364.25,"1,196.50",1,2.63%,5.94,61.97%,여유재고,27.54,여유
